,index,"Population, total",Population growth (annual %),Urban population (% of total),Urban population,Urban population growth (annual %),Rural population (% of total population),Rural population,Rural population growth (annual %),GDP (current US$),GDP growth (annual %),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Methane emissions (kt of CO2 equivalent),Total greenhouse gas emissions (kt of CO2 equivalent),Other greenhouse gas emissions,CO2 emissions from solid fuel consumption (kt),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions (kt),CO2 emissions (metric tons per capita),CO2 emissions (kg per 2010 US$ of GDP),CO2 intensity (kg per kg of oil equivalent energy use),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Agricultural land (sq. km)
364,1991-04-01,5310960705.409653,1.6637825949901,43.398215864793386,2304862191.428035,2.53093693795203,56.601784135206614,3006098513.981618,3037976042.0,23161547815702.805,-0.240699224271808,242046.44999999998,559045.8333333334,3215625.3205499747,523599.70388331084,689232.5129166667,794307.9532499999,321168.0833333333,1866994.0724166671,0.34772229795129084,0.048504793499975246,0.2055166145812508,137.40576198398082,179.41577591399584,40294397.05389874
365,1991-05-01,5318239155.140574,1.6637825949901,43.398215864793386,2308020908.7538705,2.53093693795203,56.601784135206614,3010218246.386704,3037976042.0,23266386385843.324,-0.240699224271808,242046.44999999998,559045.8333333334,3215625.3205499747,523599.70388331084,689232.5129166667,794307.9532499999,321168.0833333333,1866994.0724166671,0.34772229795129084,0.048504793499975246,0.2055166145812508,137.40576198398082,179.41577591399584,40209856.55877152
366,1991-06-01,5325729378.7807255,1.6637825949901,43.398215864793386,2311271532.177979,2.53093693795203,56.601784135206614,3014457846.6027465,3037976042.0,23366406063715.266,-0.240699224271808,242046.44999999998,559045.8333333334,3215625.3205499747,523599.70388331084,689232.5129166667,794307.9532499999,321168.0833333333,1866994.0724166671,0.34772229795129084,0.048504793499975246,0.2055166145812508,137.40576198398082,179.41577591399584,40145422.16723887
367,1991-07-01,5332946444.634083,1.6637825949901,43.398215864793386,2314403609.9961233,2.53093693795203,56.601784135206614,3018542834.6379595,3037976042.0,23457906303567.9,-0.240699224271808,242046.44999999998,559045.8333333334,3215625.3205499747,523599.70388331084,689232.5129166667,794307.9532499999,321168.0833333333,1866994.0724166671,0.34772229795129084,0.048504793499975246,0.2055166145812508,137.40576198398082,179.41577591399584,40114592.63103515
368,1991-08-01,5340369723.3739195,1.6637825949901,43.398215864793386,2317625180.527883,2.53093693795203,56.601784135206614,3022744542.8460364,3037976042.0,23549862456280.58,-0.240699224271808,242046.44999999998,559045.8333333334,3215625.3205499747,523599.70388331084,689232.5129166667,794307.9532499999,321168.0833333333,1866994.0724166671,0.34772229795129084,0.048504793499975246,0.2055166145812508,137.40576198398082,179.41577591399584,40125071.809616506
369,1991-09-01,5347756286.907425,1.6637825949901,43.398215864793386,2320830817.3151436,2.53093693795203,56.601784135206614,3026925469.592281,3037976042.0,23642104459235.145,-0.240699224271808,242046.44999999998,559045.8333333334,3215625.3205499747,523599.70388331084,689232.5129166667,794307.9532499999,321168.0833333333,1866994.0724166671,0.34772229795129084,0.048504793499975246,0.2055166145812508,137.40576198398082,179.41577591399584,40188500.54110641
370,1991-10-01,5354867906.382564,1.6637825949901,43.398215864793386,2323917133.286447,2.53093693795203,56.601784135206614,3030950773.0961165,3037976042.0,23734425663362.094,-0.240699224271808,242046.44999999998,559045.8333333334,3215625.3205499747,523599.70388331084,689232.5129166667,794307.9532499999,321168.0833333333,1866994.0724166671,0.34772229795129084,0.048504793499975246,0.2055166145812508,137.40576198398082,179.41577591399584,40309742.56164314
371,1991-11-01,5362176922.71406,1.6637825949901,43.398215864793386,2327089115.971583,2.53093693795203,56.601784135206614,3035087806.742477,3037976042.0,23835856150492.4,-0.240699224271808,242046.44999999998,559045.8333333334,3215625.3205499747,523599.70388331084,689232.5129166667,794307.9532499999,321168.0833333333,1866994.0724166671,0.34772229795129084,0.048504793499975246,0.2055166145812508,137.40576198398082,179.41577591399584,40506639.834465556
372,1991-12-01,5369210095.0,1.6637825949901,43.398215864793386,2330141387.262378,2.53093693795203,56.601784135206614,3039068707.7376223,3037976042.0,23942604354923.2,-0.240699224271808,242046.44999999998,559045.8333333334,3215625.3205499747,523599.70388331084,689232.5129166667,794307.9532499999,321168.0833333333,1866994.0724166671,0.34772229795129084,0.048504793499975246,0.2055166145812508,137.40576198398082,179.41577591399584,40775831.0039303
373,1992-01-01,5376435859.745052,1.56790037101351,43.741273962585495,2351721538.833772,2.3707254350687097,56.2587260374146,3024714320.9112854,3066905152.0,24063737340683.195,0.196188377577371,256338.4833333333,570543.3333333334,3318696.2491161996,609722.76578287,692193.6154166666,763234.1008333334,331557.9166666667,1848618.12425,0.3389848849742742,0.047193398418305915,0.20849829576033999,135.05484450278584,177.8262804603825,41140799.353392325
374,1992-02-01,5383623901.129455,1.56790037101351,43.741273962585495,2354865679.7082677,2.3707254350687097,56.2587260374146,3028758221.421192,3066905152.0,24194187861388.66,0.196188377577371,256338.4833333333,570543.3333333334,3318696.2491161996,609722.76578287,692193.6154166666,763234.1008333334,331557.9166666667,1848618.12425,0.3389848849742742,0.047193398418305915,0.20849829576033999,135.05484450278584,177.8262804603825,41582873.44071041
375,1992-03-01,5390319482.9641905,1.56790037101351,43.741273962585495,2357794412.5019884,2.3707254350687097,56.2587260374146,3032525070.4622073,3066905152.0,24322358992038.785,0.196188377577371,256338.4833333333,570543.3333333334,3318696.2491161996,609722.76578287,692193.6154166666,763234.1008333334,331557.9166666667,1848618.12425,0.3389848849742742,0.047193398418305915,0.20849829576033999,135.05484450278584,177.8262804603825,42052673.43083403
